iShares U.S. Aerospace & Defense ETF
Fund Holdings as of,"Jan 24, 2025"
Inception Date,"May 01, 2006"
Shares Outstanding,"43,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GE","GE AEROSPACE","Industrials","Equity","1,297,814,155.00","19.26","1,297,814,155.00","6,596,260.00","196.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","1,016,533,516.50","15.09","1,016,533,516.50","8,112,150.00","125.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","802,174,079.24","11.91","802,174,079.24","4,556,254.00","176.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","312,444,512.36","4.64","312,444,512.36","2,459,612.00","127.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","307,308,983.68","4.56","307,308,983.68","229,024.00","1,341.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","298,359,614.94","4.43","298,359,614.94","600,297.00","497.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","286,590,491.67","4.25","286,590,491.67","1,075,669.00","266.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","281,393,660.80","4.18","281,393,660.80","566,230.00","496.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","272,761,064.70","4.05","272,761,064.70","1,247,478.00","218.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","271,239,024.72","4.03","271,239,024.72","444,421.00","610.32","United States","NASDAQ","USD","1.00","USD","-"
"CW","CURTISS WRIGHT CORP","Industrials","Equity","170,445,687.36","2.53","170,445,687.36","444,054.00","383.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXT","TEXTRON INC","Industrials","Equity","167,589,234.00","2.49","167,589,234.00","2,170,845.00","77.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HEIA","HEICO CORP CLASS A","Industrials","Equity","158,695,551.00","2.36","158,695,551.00","839,659.00","189.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BWXT","BWX TECHNOLOGIES INC","Industrials","Equity","136,646,772.00","2.03","136,646,772.00","1,070,480.00","127.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WWD","WOODWARD INC","Industrials","Equity","131,262,400.50","1.95","131,262,400.50","698,390.00","187.95","United States","NASDAQ","USD","1.00","USD","-"
"RKLB","ROCKET LAB USA INC CLASS A","Industrials","Equity","124,369,648.92","1.85","124,369,648.92","4,096,497.00","30.36","United States","NASDAQ","USD","1.00","USD","-"
"HEI","HEICO CORP","Industrials","Equity","106,261,986.68","1.58","106,261,986.68","451,142.00","235.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Industrials","Equity","92,858,328.64","1.38","92,858,328.64","458,062.00","202.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","65,566,255.98","0.97","65,566,255.98","336,738.00","194.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HXL","HEXCEL CORP","Industrials","Equity","64,107,851.60","0.95","64,107,851.60","948,341.00","67.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","60,382,488.83","0.90","60,382,488.83","1,769,191.00","34.13","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","59,142,388.68","0.88","59,142,388.68","327,913.00","180.36","United States","NASDAQ","USD","1.00","USD","-"
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Industrials","Equity","46,784,641.41","0.69","46,784,641.41","1,369,173.00","34.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACHR","ARCHER AVIATION INC CLASS A","Industrials","Equity","34,080,441.03","0.51","34,080,441.03","3,418,299.00","9.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DRS","LEONARDO DRS INC","Industrials","Equity","31,869,803.52","0.47","31,869,803.52","865,792.00","36.81","United States","NASDAQ","USD","1.00","USD","-"
"AIR","AAR CORP","Industrials","Equity","29,094,048.18","0.43","29,094,048.18","412,506.00","70.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRCY","MERCURY SYSTEMS INC","Industrials","Equity","25,318,103.61","0.38","25,318,103.61","592,791.00","42.71","United States","NASDAQ","USD","1.00","USD","-"
"TGI","TRIUMPH GROUP INC","Industrials","Equity","17,088,007.34","0.25","17,088,007.34","904,606.00","18.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOAR","LOAR HOLDINGS INC","Industrials","Equity","16,578,350.25","0.25","16,578,350.25","207,879.00","79.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDRE","CADRE HOLDINGS INC","Industrials","Equity","12,005,669.50","0.18","12,005,669.50","303,941.00","39.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DCO","DUCOMMUN INC","Industrials","Equity","11,052,993.63","0.16","11,052,993.63","159,013.00","69.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
