iShares U.S. Home Construction ETF
Fund Holdings as of,"Mar 21, 2025"
Inception Date,"May 01, 2006"
Shares Outstanding,"25,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DHI","D R HORTON INC","Consumer Discretionary","Equity","340,307,668.80","14.12","340,307,668.80","2,641,320.00","128.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP CLASS A","Consumer Discretionary","Equity","250,574,349.34","10.40","250,574,349.34","2,174,747.00","115.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVR","NVR INC","Consumer Discretionary","Equity","200,067,662.34","8.30","200,067,662.34","27,846.00","7,184.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","193,682,052.48","8.04","193,682,052.48","1,885,534.00","102.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","108,819,891.45","4.52","108,819,891.45","479,235.00","227.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","105,348,862.65","4.37","105,348,862.65","300,011.00","351.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","104,600,103.90","4.34","104,600,103.90","312,790.00","334.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TOL","TOLL BROTHERS INC","Consumer Discretionary","Equity","98,750,071.20","4.10","98,750,071.20","930,288.00","106.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLD","TOPBUILD CORP","Consumer Discretionary","Equity","81,517,453.44","3.38","81,517,453.44","273,072.00","298.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LII","LENNOX INTERNATIONAL INC","Industrials","Equity","69,557,432.85","2.89","69,557,432.85","122,127.00","569.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","57,331,286.37","2.38","57,331,286.37","963,713.00","59.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
