iShares Semiconductor ETF
Fund Holdings as of,"Jan 24, 2025"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"62,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AVGO","BROADCOM INC","Information Technology","Equity","1,638,367,561.10","11.31","1,638,367,561.10","6,695,413.00","244.70","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","1,119,493,693.32","7.73","1,119,493,693.32","7,849,486.00","142.62","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","971,787,240.00","6.71","971,787,240.00","7,911,000.00","122.84","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","927,609,563.52","6.41","927,609,563.52","5,389,632.00","172.11","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","788,495,619.84","5.44","788,495,619.84","4,250,192.00","185.52","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","725,998,073.58","5.01","725,998,073.58","5,853,879.00","124.02","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","628,790,803.98","4.34","628,790,803.98","838,589.00","749.82","United States","NASDAQ","USD","1.00","USD","-"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","588,959,381.40","4.07","588,959,381.40","2,654,405.00","221.88","Taiwan","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","585,195,497.28","4.04","585,195,497.28","7,344,321.00","79.68","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","579,988,354.50","4.01","579,988,354.50","3,105,694.00","186.75","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","571,625,854.93","3.95","571,625,854.93","5,539,547.00","103.19","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","540,906,985.92","3.74","540,906,985.92","2,488,416.00","217.37","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","531,346,376.00","3.67","531,346,376.00","783,200.00","678.43","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","522,747,417.00","3.61","522,747,417.00","713,892.00","732.25","Netherlands","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","504,892,142.30","3.49","504,892,142.30","2,365,610.00","213.43","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","469,949,733.51","3.25","469,949,733.51","22,561,197.00","20.83","United States","NASDAQ","USD","1.00","USD","-"
