Fund Name:,SPDR® S&P® Regional Banking ETF,,,,,,,,,,
Ticker Symbol:,KRE,,,,,,,,,,
Holdings:,As of 23-Jan-2025,,,,,,,,,,
,,,,,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,4.372575,-,4324046.000,USD,,,,
CITIZENS FINANCIAL GROUP,CFG,174610105,BQRX1X3,4.372268,-,4270769.000,USD,,,,
M + T BANK CORP,MTB,55261F104,2340168,4.164410,-,977595.000,USD,,,,
HUNTINGTON BANCSHARES INC,HBAN,446150104,2445966,4.149443,-,11353525.000,USD,,,,
REGIONS FINANCIAL CORP,RF,7591EP100,B01R311,4.078089,-,7773086.000,USD,,,,
WESTERN ALLIANCE BANCORP,WAL,957638109,B0CCGJ4,3.641412,-,1842261.000,USD,,,,
FIRST HORIZON CORP,FHN,320517105,2341484,3.577590,-,7911597.000,USD,,,,
ZIONS BANCORP NA,ZION,989701107,2989828,2.519924,-,2008340.000,USD,,,,
EAST WEST BANCORP INC,EWBC,27579R104,2487407,2.376156,-,1061603.000,USD,,,,
SYNOVUS FINANCIAL CORP,SNV,87161C501,BMH4NJ8,2.264005,-,1897588.000,USD,,,,
WEBSTER FINANCIAL CORP,WBS,947890109,2945143,2.031541,-,1602534.000,USD,,,,
CULLEN/FROST BANKERS INC,CFR,229899109,2239556,2.024226,-,667539.000,USD,,,,
PINNACLE FINANCIAL PARTNERS,PNFP,72346Q104,2675097,1.963494,-,742145.000,USD,,,,
BANK OZK,OZK,06417N103,BZ56Q65,1.950501,-,1773013.000,USD,,,,
VALLEY NATIONAL BANCORP,VLY,919794107,2935326,1.874967,-,8865072.000,USD,,,,
FLAGSTAR FINANCIAL INC,FLG,649445400,BT6MM39,1.772514,-,8728740.000,USD,,,,
POPULAR INC,BPOP,733174700,B86QM90,1.742607,-,797269.000,USD,,,,
WINTRUST FINANCIAL CORP,WTFC,97650W108,2425258,1.620968,-,563446.000,USD,,,,
SOUTHSTATE CORP,SSB,840441109,BNFX071,1.556079,-,729838.000,USD,,,,
COLUMBIA BANKING SYSTEM INC,COLB,197236102,2176608,1.462122,-,2401777.000,USD,,,,
UMB FINANCIAL CORP,UMBF,902788108,2918510,1.400507,-,537123.000,USD,,,,
CADENCE BANK,CADE,12740C103,BMCS168,1.397707,-,1888151.000,USD,,,,
PROSPERITY BANCSHARES INC,PB,743606105,2310257,1.364874,-,805118.000,USD,,,,
COMMERCE BANCSHARES INC,CBSH,200525103,2213204,1.331013,-,935940.000,USD,,,,
OLD NATIONAL BANCORP,ONB,680033107,2658441,1.313432,-,2655639.000,USD,,,,
BANC OF CALIFORNIA INC,BANC,05990K106,BCD47X4,1.147320,-,3379188.000,USD,,,,
AXOS FINANCIAL INC,AX,05465C100,BGK38H3,1.124962,-,733184.000,USD,,,,
BANCORP INC/THE,TBBK,05969A105,B05BRL7,1.093322,-,915710.000,USD,,,,
ASSOCIATED BANC CORP,ASB,045487105,2055718,1.087109,-,1984566.000,USD,,,,
FNB CORP,FNB,302520101,2041308,1.086587,-,3239516.000,USD,,,,
TEXAS CAPITAL BANCSHARES INC,TCBI,88224Q107,2977209,1.070356,-,643202.000,USD,,,,
BANKUNITED INC,BKU,06652K103,B3NNTZ4,1.018164,-,1179678.000,USD,,,,
HANCOCK WHITNEY CORP,HWC,410120109,2415497,0.991762,-,771926.000,USD,,,,
GLACIER BANCORP INC,GBCI,37637Q105,2370585,0.937551,-,844271.000,USD,,,,
