Fund Name:,SPDR® S&P® Biotech ETF,,,,,,,,,,
Ticker Symbol:,XBI,,,,,,,,,,
Holdings:,As of 23-Jan-2025,,,,,,,,,,
,,,,,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
NEUROCRINE BIOSCIENCES INC,NBIX,64125C109,2623911,2.677205,-,1128863.000,USD,,,,
ALNYLAM PHARMACEUTICALS INC,ALNY,02043Q107,B00FWN1,2.521674,-,569497.000,USD,,,,
INSMED INC,INSM,457669307,2614487,2.439907,-,1950552.000,USD,,,,
NATERA INC,NTRA,632307104,BYQRG48,2.391286,-,866054.000,USD,,,,
UNITED THERAPEUTICS CORP,UTHR,91307C102,2430412,2.387755,-,399542.000,USD,,,,
AMGEN INC,AMGN,031162100,2023607,2.363938,-,529378.000,USD,,,,
GILEAD SCIENCES INC,GILD,375558103,2369174,2.339511,-,1566762.000,USD,,,,
INCYTE CORP,INCY,45337C102,2471950,2.327147,-,1996610.000,USD,,,,
MODERNA INC,MRNA,60770K107,BGSXTS3,2.300342,-,3376883.000,USD,,,,
VAXCYTE INC,PCVX,92243G108,BKPVGH6,2.298322,-,1589557.000,USD,,,,
ABBVIE INC,ABBV,00287Y109,B92SR70,2.276253,-,829947.000,USD,,,,
SAREPTA THERAPEUTICS INC,SRPT,803607100,B8DPDT7,2.209873,-,1154242.000,USD,,,,
BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,2437071,2.192559,-,2193905.000,USD,,,,
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,2.183479,-,308994.000,USD,,,,
BIOGEN INC,BIIB,09062X103,2455965,2.122121,-,919160.000,USD,,,,
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,2.090210,-,187248.000,USD,,,,
HALOZYME THERAPEUTICS INC,HALO,40637H109,2975098,2.086670,-,2334166.000,USD,,,,
EXACT SCIENCES CORP,EXAS,30063P105,2719951,2.030201,-,2291596.000,USD,,,,
MADRIGAL PHARMACEUTICALS INC,MDGL,558868105,BD59BS7,1.951962,-,357109.000,USD,,,,
BLUEPRINT MEDICINES CORP,BPMC,09627Y109,BWY52P3,1.780724,-,958326.000,USD,,,,
TG THERAPEUTICS INC,TGTX,88322Q108,B828K63,1.667478,-,3573145.000,USD,,,,
VIKING THERAPEUTICS INC,VKTX,92686J106,BQQG1V1,1.641521,-,2923550.000,USD,,,,
BRIDGEBIO PHARMA INC,BBIO,10806X102,BK1KWG8,1.608094,-,2697998.000,USD,,,,
ADMA BIOLOGICS INC,ADMA,000899104,B9NSBM2,1.474040,-,5532376.000,USD,,,,
IONIS PHARMACEUTICALS INC,IONS,462222100,BDJ0LS6,1.417039,-,2558902.000,USD,,,,
ROIVANT SCIENCES LTD,ROIV,G76279101,BMW4NZ9,1.384097,-,7683302.000,USD,,,,
CYTOKINETICS INC,CYTK,23282W605,BBBSBJ5,1.370197,-,1781548.000,USD,,,,
SUMMIT THERAPEUTICS INC,SMMT,86627T108,BMTVQS7,1.331216,-,3360614.000,USD,,,,
APELLIS PHARMACEUTICALS INC,APLS,03753U106,BYTQ6X1,1.286948,-,2603525.000,USD,,,,
CRISPR THERAPEUTICS AG,CRSP,H17182108,BDHF4K6,1.270672,-,1787737.000,USD,,,,
EXELIXIS INC,EXEL,30161Q104,2576941,1.252632,-,2283885.000,USD,,,,
REVOLUTION MEDICINES INC,RVMD,76155X100,BL71K91,1.231598,-,1862909.000,USD,,,,
ALKERMES PLC,ALKS,G01767105,B3P6D26,1.152925,-,2259667.000,USD,,,,
BIOHAVEN LTD,BHVN,G1110E107,BPLZ7S5,0.953946,-,1458175.000,USD,,,,
AVIDITY BIOSCIENCES INC,RNA,05370A108,BMWHPY1,0.923899,-,1908149.000,USD,,,,
TWIST BIOSCIENCE CORP,TWST,90184D100,BGKG6G7,0.861858,-,1006226.000,USD,,,,
NUVALENT INC A,NUVL,670703107,BMVBZD3,0.859646,-,639118.000,USD,,,,
ARCELLX INC,ACLX,03940C100,BPCJ1Q2,0.804694,-,765784.000,USD,,,,
ULTRAGENYX PHARMACEUTICAL IN,RARE,90400D108,BJ62Z18,0.787094,-,1092072.000,USD,,,,
RECURSION PHARMACEUTICALS A,RXRX,75629V104,BM9FJ13,0.776881,-,6420168.000,USD,,,,
SPRINGWORKS THERAPEUTICS INC,SWTX,85205L107,BGMGM89,0.769850,-,1325578.000,USD,,,,
KRYSTAL BIOTECH INC,KRYS,501147102,BD6JX35,0.730687,-,293237.000,USD,,,,
VERACYTE INC,VCYT,92337F107,BFTWZY0,0.689917,-,974184.000,USD,,,,
CELLDEX THERAPEUTICS INC,CLDX,15117B202,BJLV8T9,0.644763,-,1643688.000,USD,,,,
TRAVERE THERAPEUTICS INC,TVTX,89422G107,BLFGJD5,0.636093,-,1902109.000,USD,,,,
GERON CORP,GERN,374163103,2370381,0.629771,-,12976660.000,USD,,,,
PROTAGONIST THERAPEUTICS INC,PTGX,74366E102,BDCBCD8,0.625237,-,1029296.000,USD,,,,
PTC THERAPEUTICS INC,PTCT,69366J200,B17VCN9,0.624319,-,841278.000,USD,,,,
SCHOLAR ROCK HOLDING CORP,SRRK,80706P103,BFZQ0L8,0.614178,-,841832.000,USD,,,,
IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,BF0DMK7,0.594304,-,5974545.000,USD,,,,
NOVAVAX INC,NVAX,670002401,BJDQXG4,0.592714,-,3862150.000,USD,,,,
DENALI THERAPEUTICS INC,DNLI,24823R105,BD2B4V0,0.569984,-,1523586.000,USD,,,,
VIRIDIAN THERAPEUTICS INC,VRDN,92790C104,BMDH2B6,0.562176,-,1864776.000,USD,,,,
AMICUS THERAPEUTICS INC,FOLD,03152W109,B19FQ48,0.557421,-,3594538.000,USD,,,,
SOLENO THERAPEUTICS INC,SLNO,834203309,BL6JK96,0.556232,-,716780.000,USD,,,,
DYNAVAX TECHNOLOGIES CORP,DVAX,268158201,BRJZSK0,0.552608,-,2686546.000,USD,,,,
CRINETICS PHARMACEUTICALS IN,CRNX,22663K107,BDD19F8,0.551825,-,875997.000,USD,,,,
VERA THERAPEUTICS INC,VERA,92337R101,BL55460,0.517891,-,945362.000,USD,,,,
