index_code,index_name,signal_mode,fear_start_date,fear_end_date,bottom_signals,top_signals,bottoms_with_members,candidate_stocks,volume_source
000015.SH,上证红利,ma5,2023-03-22,2026-08-28,4,9,4,70,proxy_etf:510880.SH
000015.SH,上证红利,volume,2023-03-22,2026-08-28,5,8,5,70,proxy_etf:510880.SH
000015.SH,上证红利,any,2023-03-22,2026-08-28,9,17,9,70,proxy_etf:510880.SH
000300.SH,沪深300,ma5,2023-01-03,2026-08-28,6,17,6,364,proxy_etf:510300.SH
000300.SH,沪深300,volume,2023-01-03,2026-08-28,2,9,2,336,proxy_etf:510300.SH
000300.SH,沪深300,any,2023-01-03,2026-08-28,8,26,8,364,proxy_etf:510300.SH
000510.SH,中证A500,ma5,2025-09-15,2026-08-28,4,1,4,536,proxy_etf:563360.SH
000510.SH,中证A500,volume,2025-09-15,2026-08-28,1,1,1,500,proxy_etf:563360.SH
000510.SH,中证A500,any,2025-09-15,2026-08-28,5,2,5,536,proxy_etf:563360.SH
000680.SH,科创综指,ma5,2025-07-30,2026-08-28,3,7,3,588,proxy_etf:589000.SH
000680.SH,科创综指,volume,2025-07-30,2026-08-28,2,3,2,578,proxy_etf:589000.SH
000680.SH,科创综指,any,2025-07-30,2026-08-28,5,10,5,588,proxy_etf:589000.SH
000688.SH,科创50,ma5,2023-01-03,2026-08-28,5,12,5,65,proxy_etf:588000.SH
000688.SH,科创50,volume,2023-01-03,2026-08-28,3,3,3,70,proxy_etf:588000.SH
000688.SH,科创50,any,2023-01-03,2026-08-28,8,15,8,72,proxy_etf:588000.SH
000698.SH,科创100,ma5,2024-01-23,2026-08-28,5,14,5,168,proxy_etf:588220.SH
000698.SH,科创100,volume,2024-01-23,2026-08-28,1,8,1,100,proxy_etf:588220.SH
000698.SH,科创100,any,2024-01-23,2026-08-28,6,22,6,168,proxy_etf:588220.SH
000699.SH,科创200,ma5,2025-08-20,2026-08-28,4,4,4,236,proxy_etf:588230.SH
000699.SH,科创200,volume,2025-08-20,2026-08-28,2,0,2,236,proxy_etf:588230.SH
000699.SH,科创200,any,2025-08-20,2026-08-28,6,4,6,236,proxy_etf:588230.SH
000813.CSI,细分化工,ma5,2023-01-03,2026-08-28,10,25,10,68,proxy_etf:516020.SH
000813.CSI,细分化工,volume,2023-01-03,2026-08-28,4,18,4,63,proxy_etf:516020.SH
000813.CSI,细分化工,any,2023-01-03,2026-08-28,13,43,13,68,proxy_etf:516020.SH
000819.SH,有色金属,ma5,2023-01-03,2026-08-28,10,24,10,73,proxy_etf:512400.SH
000819.SH,有色金属,volume,2023-01-03,2026-08-28,4,13,4,64,proxy_etf:512400.SH
000819.SH,有色金属,any,2023-01-03,2026-08-28,13,37,13,73,proxy_etf:512400.SH
000905.SH,中证500,ma5,2020-01-02,2026-08-28,12,15,12,814,proxy_etf:510500.SH
000905.SH,中证500,volume,2020-01-02,2026-08-28,7,11,7,807,proxy_etf:510500.SH
000905.SH,中证500,any,2020-01-02,2026-08-28,19,26,19,814,proxy_etf:510500.SH
000932.SH,主要消费,ma5,2023-01-03,2026-08-28,10,10,10,56,proxy_etf:159928.SZ
000932.SH,主要消费,volume,2023-01-03,2026-08-28,3,7,3,46,proxy_etf:159928.SZ
000932.SH,主要消费,any,2023-01-03,2026-08-28,13,16,13,56,proxy_etf:159928.SZ
000933.SH,医药卫生,ma5,2023-01-03,2026-08-28,7,12,7,103,proxy_etf:159929.SZ
000933.SH,医药卫生,volume,2023-01-03,2026-08-28,3,9,3,103,proxy_etf:159929.SZ
000933.SH,医药卫生,any,2023-01-03,2026-08-28,10,21,10,103,proxy_etf:159929.SZ
000949.CSI,中证农业,ma5,2023-01-03,2026-08-28,10,18,10,72,proxy_etf:159825.SZ
000949.CSI,中证农业,volume,2023-01-03,2026-08-28,4,16,4,59,proxy_etf:159825.SZ
000949.CSI,中证农业,any,2023-01-03,2026-08-28,14,34,14,72,proxy_etf:159825.SZ
000985.SH,中证全指,ma5,2020-05-26,2026-08-28,9,14,9,5550,aggregate_proxy_etf_turnover
000985.SH,中证全指,volume,2020-05-26,2026-08-28,4,7,4,5546,aggregate_proxy_etf_turnover
000985.SH,中证全指,any,2020-05-26,2026-08-28,13,21,13,5550,aggregate_proxy_etf_turnover
000987.SH,全指原材料,ma5,2023-01-03,2026-08-28,11,22,11,220,proxy_etf:159944.SZ
000987.SH,全指原材料,volume,2023-01-03,2026-08-28,5,14,5,188,proxy_etf:159944.SZ
000987.SH,全指原材料,any,2023-01-03,2026-08-28,16,35,16,220,proxy_etf:159944.SZ
000989.SH,全指可选消费,ma5,2023-01-03,2026-08-28,13,11,13,183,proxy_etf:159936.SZ
000989.SH,全指可选消费,volume,2023-01-03,2026-08-28,3,11,3,140,proxy_etf:159936.SZ
000989.SH,全指可选消费,any,2023-01-03,2026-08-28,16,22,16,183,proxy_etf:159936.SZ
000991.SH,全指医药,ma5,2023-01-03,2026-08-28,8,12,8,144,proxy_etf:159938.SZ
000991.SH,全指医药,volume,2023-01-03,2026-08-28,6,9,6,147,proxy_etf:159938.SZ
000991.SH,全指医药,any,2023-01-03,2026-08-28,14,21,14,147,proxy_etf:159938.SZ
000993.SH,全指信息,ma5,2023-01-03,2026-08-28,6,21,6,201,proxy_etf:159939.SZ
000993.SH,全指信息,volume,2023-01-03,2026-08-28,2,10,2,184,proxy_etf:159939.SZ
000993.SH,全指信息,any,2023-01-03,2026-08-28,8,31,8,201,proxy_etf:159939.SZ
000994.CSI,全指通信服务,ma5,2020-05-26,2026-08-28,9,19,9,92,index_volume
000994.CSI,全指通信服务,volume,2020-05-26,2026-08-28,2,6,2,85,index_volume
000994.CSI,全指通信服务,any,2020-05-26,2026-08-28,11,25,11,92,index_volume
000995.CSI,全指公用,ma5,2023-01-03,2026-08-28,7,20,7,61,index_volume
000995.CSI,全指公用,volume,2023-01-03,2026-08-28,3,13,3,56,index_volume
000995.CSI,全指公用,any,2023-01-03,2026-08-28,9,31,9,61,index_volume
399006.SZ,创业板指,ma5,2023-03-22,2026-08-28,7,14,7,149,proxy_etf:159915.SZ
399006.SZ,创业板指,volume,2023-03-22,2026-08-28,3,9,3,139,proxy_etf:159915.SZ
399006.SZ,创业板指,any,2023-03-22,2026-08-28,10,23,10,153,proxy_etf:159915.SZ
399967.SZ,中证军工,ma5,2023-01-03,2026-08-28,14,18,14,113,proxy_etf:512660.SH
399967.SZ,中证军工,volume,2023-01-03,2026-08-28,5,12,5,111,proxy_etf:512660.SH
399967.SZ,中证军工,any,2023-01-03,2026-08-28,19,29,19,113,proxy_etf:512660.SH
399971.SZ,中证传媒,ma5,2023-01-03,2026-08-28,5,13,5,60,proxy_etf:512980.SH
399971.SZ,中证传媒,volume,2023-01-03,2026-08-28,3,7,3,60,proxy_etf:512980.SH
399971.SZ,中证传媒,any,2023-01-03,2026-08-28,8,20,8,60,proxy_etf:512980.SH
399975.SZ,证券公司,ma5,2023-01-03,2026-08-28,4,8,4,51,proxy_etf:512880.SH
399975.SZ,证券公司,volume,2023-01-03,2026-08-28,2,0,2,50,proxy_etf:512880.SH
399975.SZ,证券公司,any,2023-01-03,2026-08-28,6,8,6,51,proxy_etf:512880.SH
399986.SZ,中证银行,ma5,2023-01-03,2026-08-28,8,20,8,42,proxy_etf:512800.SH
399986.SZ,中证银行,volume,2023-01-03,2026-08-28,7,12,7,42,proxy_etf:512800.SH
399986.SZ,中证银行,any,2023-01-03,2026-08-28,15,32,15,42,proxy_etf:512800.SH
399989.SZ,中证医疗,ma5,2023-01-03,2026-08-28,9,14,9,72,proxy_etf:512170.SH
399989.SZ,中证医疗,volume,2023-01-03,2026-08-28,4,4,4,64,proxy_etf:512170.SH
399989.SZ,中证医疗,any,2023-01-03,2026-08-28,13,18,13,72,proxy_etf:512170.SH
399995.SZ,基建工程,ma5,2020-05-26,2026-08-28,5,13,5,69,index_volume
399995.SZ,基建工程,volume,2020-05-26,2026-08-28,2,4,2,61,index_volume
399995.SZ,基建工程,any,2020-05-26,2026-08-28,7,17,7,71,index_volume
399997.SZ,中证白酒,ma5,2023-01-03,2026-08-28,10,11,10,19,index_volume
399997.SZ,中证白酒,volume,2023-01-03,2026-08-28,2,5,2,19,index_volume
399997.SZ,中证白酒,any,2023-01-03,2026-08-28,12,15,12,19,index_volume
399998.SZ,中证煤炭,ma5,2023-03-22,2026-08-28,9,14,9,33,proxy_etf:515220.SH
399998.SZ,中证煤炭,volume,2023-03-22,2026-08-28,1,12,1,31,proxy_etf:515220.SH
399998.SZ,中证煤炭,any,2023-03-22,2026-08-28,10,26,10,33,proxy_etf:515220.SH
899050.BJ,北证50,ma5,2025-10-30,2026-08-28,5,0,5,59,index_volume
