direction,threshold_atr,selected_pct,true_sell_recall_pct,false_sell_rejection_pct,true_sell_precision_pct
至少回撤,0.0,77.06105232687366,65.58582881071105,20.288499471869073,15.96927823987121
至多回撤,0.0,23.26046615010054,34.87423895975096,79.42198297254993,28.131736260805795
至少回撤,0.5,68.6907168001158,52.246618364142265,27.511167105715266,14.271523926343436
至多回撤,0.5,31.309283199884213,47.753381635857735,72.48883289428473,28.618127786032687
至少回撤,0.75,63.98579529301085,44.52188765530731,31.51859911681238,13.05570141778083
至多回撤,0.75,36.01420470698915,55.47811234469269,68.48140088318762,28.904007348719716
至少回撤,1.0,59.56879306512558,37.364665693269785,35.302689013604144,11.769350919819507
至多回撤,1.0,40.43120693487442,62.635334306730215,64.69731098639586,29.067849700193054
至少回撤,1.5,51.95469794321219,26.76382269484008,42.22693085938991,9.66570490498458
至多回撤,1.5,48.04530205678781,73.23617730515993,57.77306914061009,28.601245871303
至少回撤,2.0,46.1177419271466,21.20995068734676,48.12927117932272,8.629424555582954
至多回撤,2.0,53.882258072853396,78.79004931265324,51.87072882067728,27.436947783459164
至少回撤,3.0,37.18293987811245,15.818617592771151,57.88251313964291,7.982428092808585
至多回撤,3.0,62.81706012188755,84.18138240722884,42.1174868603571,25.14482735920477
