index_code,trade_date,index_close,eligible_members,low9_share,high9_share,low7_9_share,high7_9_share,low9_weighted,high9_weighted,low7_9_weighted,high7_9_weighted
000015.SH,2020-01-02,2781.7144,50,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.017000510556519268
000015.SH,2020-01-03,2779.4548,50,0.0,0.02,0.0,0.04,0.0,0.017000510556519268,0.0,0.03511105383648158
000015.SH,2020-01-06,2775.5671,50,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.1724051740954242
000015.SH,2020-01-07,2794.1226,50,0.0,0.02,0.0,0.44,0.0,0.018110543279962317,0.0,0.4350130496543011
000015.SH,2020-01-08,2772.291,50,0.0,0.02,0.0,0.12,0.0,0.030310908431117896,0.0,0.13364400707008117
000015.SH,2020-01-09,2798.6167,50,0.0,0.02,0.0,0.06,0.0,0.020180604369200907,0.0,0.05544166137120134
000015.SH,2020-01-10,2785.9094,50,0.0,0.02,0.0,0.02,0.0,0.015400461690688483,0.0,0.015400461690688483
000015.SH,2020-01-13,2800.8594,50,0.0,0.0,0.02,0.04,0.0,0.0,0.01670050064909558,0.06699200883134636
000015.SH,2020-01-14,2801.5876,50,0.0,0.0,0.02,0.04,0.0,0.0,0.01670050064909558,0.06699200883134636
000015.SH,2020-01-15,2788.181,50,0.02,0.02,0.02,0.02,0.01670050064909558,0.024480734056944228,0.01670050064909558,0.024480734056944228
000015.SH,2020-01-16,2780.4495,50,0.0,0.0,0.08,0.0,0.0,0.0,0.07138214184895539,0.0
000015.SH,2020-01-17,2781.848,50,0.0,0.0,0.12,0.0,0.0,0.0,0.11927357911671732,0.0
000015.SH,2020-01-20,2782.943,50,0.08,0.0,0.16,0.02,0.07138214184895539,0.0,0.16004480262713114,0.011560347035377661
000015.SH,2020-01-21,2728.502,50,0.04,0.0,0.1,0.02,0.04789143726776194,0.0,0.10032301071865174,0.011560347035377661
000015.SH,2020-01-22,2732.37,50,0.02,0.02,0.04,0.02,0.020910628199101857,0.011560347035377661,0.03257097813957786,0.011560347035377661
000015.SH,2020-01-23,2657.8818,50,0.02,0.0,0.5,0.0,0.011159777369994002,0.0,0.4703505944348301,0.0
000015.SH,2020-02-03,2429.5522,50,0.0,0.0,0.48,0.0,0.0,0.0,0.45919081706483617,0.0
000015.SH,2020-02-04,2473.132,50,0.48,0.0,0.58,0.0,0.45919081706483617,0.0,0.5616387681798771,0.0
000015.SH,2020-02-05,2500.7935,50,0.0,0.0,0.12,0.0,0.0,0.0,0.11878762376312747,0.0
000015.SH,2020-02-06,2520.0127,50,0.08,0.0,0.22,0.0,0.08749825005752895,0.0,0.24780504295205402,0.0
000015.SH,2020-02-07,2517.1172,50,0.0,0.0,0.04,0.0,0.0,0.0,0.038009239815454024,0.0
000015.SH,2020-02-10,2556.2632,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000015.SH,2020-02-11,2566.5889,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000015.SH,2020-02-12,2575.3228,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000015.SH,2020-02-13,2559.2764,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000015.SH,2020-02-14,2576.2805,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000015.SH,2020-02-17,2625.8403,50,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.317913639978006
000015.SH,2020-02-18,2621.5464,50,0.0,0.0,0.02,0.32,0.0,0.0,0.02005959923279723,0.32367352334177363
000015.SH,2020-02-19,2621.766,50,0.0,0.24,0.02,0.34,0.0,0.24121517316465355,0.02005959923279723,0.34257314521115156
000015.SH,2020-02-20,2660.527,50,0.0,0.06,0.0,0.1,0.0,0.06742865055743408,0.0,0.10135797204649803
