index_code,metric,side,events,mean_5d,mean_10d,mean_20d,positive_20d
000015.SH,high7_9_share,high,19,0.0055452273,0.0055173165,0.026689818,0.9473684210526315
000015.SH,high7_9_weighted,high,16,0.003273569,0.002461791,0.023872256,0.875
000015.SH,high9_share,high,33,-0.0011806993,0.0018084898,0.008472497,0.6363636363636364
000015.SH,low7_9_share,low,20,0.0053953407,0.020246,0.03789539,0.7
000015.SH,low7_9_weighted,low,18,0.0022396147,0.012912525,0.04011707,0.7222222222222222
000015.SH,low9_share,low,26,0.0050231335,0.016589139,0.019240819,0.6538461538461539
000300.SH,high7_9_share,high,18,-0.0031732155,-0.00301979,-0.004217648,0.5
000300.SH,high7_9_weighted,high,17,0.0032344882,0.006963418,0.009574827,0.5294117647058824
000300.SH,high9_share,high,24,-0.0042105964,-0.0018257871,0.0040731826,0.5416666666666666
000300.SH,low7_9_share,low,18,0.010882308,0.018832436,0.019407375,0.5555555555555556
000300.SH,low7_9_weighted,low,18,0.011132866,0.011777222,0.023360023,0.6111111111111112
000300.SH,low9_share,low,29,0.002879416,0.0067248223,0.008887254,0.5172413793103449
000688.SH,high7_9_share,high,26,-0.010831769,-0.01859076,-0.0130073195,0.5769230769230769
000688.SH,high7_9_weighted,high,26,-0.021458345,-0.018489322,-0.021681944,0.5769230769230769
000688.SH,high9_share,high,39,-0.0026375835,-0.015149975,-0.0096396655,0.5641025641025641
000688.SH,low7_9_share,low,30,-0.007159879,0.004215753,0.015522975,0.4666666666666667
000688.SH,low7_9_weighted,low,27,-0.0057980726,-0.002722175,0.0010261955,0.3333333333333333
000688.SH,low9_share,low,36,-0.0070172846,0.002465619,0.0041152635,0.3888888888888889
000698.SH,high7_9_share,high,16,-0.00025419146,-0.014850572,-0.013394147,0.5
000698.SH,high7_9_weighted,high,14,-0.015388442,-0.026776489,-0.026888857,0.42857142857142855
000698.SH,high9_share,high,19,-0.028437536,-0.029641032,-0.030528188,0.42105263157894735
000698.SH,low7_9_share,low,11,-0.00057520106,0.014840099,0.08587748,0.7272727272727273
000698.SH,low7_9_weighted,low,9,0.0022282202,0.011780964,0.08776215,0.6666666666666666
000698.SH,low9_share,low,14,-0.0076916046,0.012377062,0.034999214,0.42857142857142855
000813.CSI,high7_9_share,high,20,-0.002690342,-6.8604946e-05,-0.01591236,0.4
000813.CSI,high7_9_weighted,high,24,-0.004791019,0.0030376092,-0.0015574495,0.4166666666666667
000813.CSI,high9_share,high,29,-0.005843105,0.0082141515,0.009181487,0.5172413793103449
000813.CSI,low7_9_share,low,26,0.0032687348,0.0058581647,0.00919226,0.5384615384615384
