index_code,trade_date,index_close,eligible_members,low9_share,high9_share,low7_9_share,high7_9_share,low9_weighted,high9_weighted,low7_9_weighted,high7_9_weighted,past20_return,forward_5d,forward_10d,forward_20d,metric,side,signed_forward_5d,signed_forward_10d,signed_forward_20d
000015.SH,2020-09-30,2537.4172,50,0.02,0.0,0.36,0.0,0.017480349787053054,0.0,0.3665373308824534,0.0,-0.040829837,0.021958232,0.01231122,0.043530226,low9_share,low,0.021958232,0.01231122,0.043530226
000015.SH,2020-10-27,2538.6462,50,0.06,0.0,0.26,0.0,0.0661613234960552,0.0,0.3050761022496236,0.0,-0.0319131,0.016623735,0.06511426,0.111019135,low9_share,low,0.016623735,0.06511426,0.111019135
000015.SH,2020-12-14,2636.2217,50,0.08,0.0,0.3,0.0,0.05416999919959903,0.0,0.2427199976363182,0.0,-0.047330976,0.015089512,-0.012577653,-0.026107311,low9_share,low,0.015089512,-0.012577653,-0.026107311
000015.SH,2021-01-05,2578.0706,50,0.06,0.0,0.08,0.02,0.08284751412464622,0.0,0.10091697242564554,0.020669379012272834,-0.047824025,-0.0041401386,0.012730837,-0.026323736,low9_share,low,-0.0041401386,0.012730837,-0.026323736
000015.SH,2021-02-01,2504.4402,50,0.04,0.0,0.34,0.0,0.04854000079979896,0.0,0.3431100026533365,0.0,-0.034308434,0.00028967857,0.07863045,0.06797242,low9_share,low,0.00028967857,0.07863045,0.06797242
000015.SH,2021-07-08,2774.0933,50,0.06,0.0,0.14,0.02,0.12019000117880703,0.0,0.19001000089054704,0.028859999334657188,-0.034191728,0.034603715,0.028171062,-0.04011637,low9_share,low,0.034603715,0.028171062,-0.04011637
000015.SH,2021-07-26,2758.8389,50,0.04,0.0,0.12,0.02,0.02274999988362193,0.0,0.14108999924052357,0.02174999963983893,-0.043875575,-0.024440706,-0.015879989,0.015562415,low9_share,low,-0.024440706,-0.015879989,0.015562415
000015.SH,2021-11-01,2749.336,50,0.08,0.0,0.3,0.0,0.11508115082162919,0.0,0.4083940838639479,0.0,-0.0767079,-0.022606134,-0.015471756,-0.019623876,low9_share,low,-0.022606134,-0.015471756,-0.019623876
000015.SH,2022-03-15,2650.584,50,0.06,0.0,0.28,0.0,0.045889999921190736,0.0,0.22995999959702493,0.0,-0.0707109,0.092553616,0.11012328,0.15518594,low9_share,low,0.092553616,0.11012328,0.15518594
000015.SH,2022-04-27,2768.5852,50,0.04,0.0,0.14,0.0,0.04452089171166237,0.0,0.13802276054836296,0.0,-0.05763495,-0.0045241117,0.023455143,0.026049137,low9_share,low,-0.0045241117,0.023455143,0.026049137
000015.SH,2022-08-03,2638.1123,50,0.06,0.0,0.08,0.0,0.04621046280646786,0.0,0.05368053732761056,0.0,-0.069485486,0.01782298,0.049146295,0.05277443,low9_share,low,0.01782298,0.049146295,0.05277443
000015.SH,2022-10-25,2685.3877,50,0.08,0.0,0.12,0.02,0.11656766967251907,0.0,0.14596708235165726,0.021959561871682864,-0.039720953,-0.03609562,-0.0036901236,0.007976294,low9_share,low,-0.03609562,-0.0036901236,0.007976294
000015.SH,2022-12-29,2707.5183,50,0.12,0.0,0.16,0.0,0.16060839325746057,0.0,0.22077779333966635,0.0,-0.036807418,0.018815994,0.024598718,0.03226328,low9_share,low,0.018815994,0.024598718,0.03226328
000015.SH,2023-06-12,2971.8877,50,0.04,0.0,0.06,0.12,0.025630768459095184,0.0,0.05579167349098232,0.09119273619320925,-0.045444846,-0.02439034,-0.034160852,-0.043749392,low9_share,low,-0.02439034,-0.034160852,-0.043749392
000015.SH,2023-07-13,2869.9893,50,0.04,0.02,0.06,0.02,0.03576035843654376,0.038640387103898825,0.05051050613058139,0.038640387103898825,-0.03286749,-0.013898432,0.005056262,0.008361101,low9_share,low,-0.013898432,0.005056262,0.008361101
000015.SH,2023-10-31,2822.9033,50,0.06,0.0,0.08,0.0,0.06084121585710514,0.0,0.09213184131442907,0.0,-0.040512323,-0.008873403,-0.0047959685,0.0052411556,low9_share,low,-0.008873403,-0.0047959685,0.0052411556
000015.SH,2024-06-21,3139.7285,50,0.04,0.0,0.08,0.0,0.03907999976065159,0.0,0.07586000053225755,0.0,-0.032855213,-0.008321404,-0.0034440756,-0.03980863,low9_share,low,-0.008321404,-0.0034440756,-0.03980863
000015.SH,2024-07-22,2986.849,50,0.04,0.0,0.06,0.0,0.04326999933674335,0.0,0.05220999933869838,0.0,-0.036696494,-0.015311778,-0.02559781,0.0002105236,low9_share,low,-0.015311778,-0.02559781,0.0002105236
000015.SH,2024-08-08,2923.6184,50,0.04,0.0,0.08,0.06,0.05189051805874444,0.0,0.09337093307442168,0.029100291400188893,-0.039241195,0.010426283,0.00018119812,-0.026865423,low9_share,low,0.010426283,0.00018119812,-0.026865423
000015.SH,2024-09-09,2770.7104,50,0.06,0.0,0.18,0.02,0.07543075610573195,0.0,0.19659196761495648,0.015210152294536636,-0.054829717,-0.008642852,0.061371207,0.12854624,low9_share,low,-0.008642852,0.061371207,0.12854624
000015.SH,2025-01-10,3003.379,50,0.04,0.0,0.42,0.0,0.026469470654782865,0.0,0.42156156836283454,0.0,-0.052209735,0.01570034,0.015876055,0.0132780075,low9_share,low,0.01570034,0.015876055,0.0132780075
000015.SH,2025-09-05,3039.4546,50,0.04,0.0,0.22,0.0,0.03845000001108646,0.0,0.2062799969462395,0.0,-0.034968138,-0.0028110147,-0.017248988,-0.010849476,low9_share,low,-0.0028110147,-0.017248988,-0.010849476
000015.SH,2025-09-22,2962.0305,50,0.04,0.0,0.3,0.0,0.03720000002002716,0.0,0.30608000059547424,0.0,-0.058454514,-0.00035995245,0.036605835,0.054564834,low9_share,low,-0.00035995245,0.036605835,0.054564834
000015.SH,2025-12-08,3062.8357,50,0.06,0.0,0.08,0.04,0.0639919189508491,0.0,0.08057241626330502,0.03761112745430091,-0.045636117,-0.013667583,-0.015563905,0.007507682,low9_share,low,-0.013667583,-0.015563905,0.007507682
000015.SH,2026-05-28,3150.5952,50,0.04,0.0,0.1,0.02,0.03643000013189912,0.0,0.0868499995830953,0.016460000305998326,-0.035922468,0.04967904,0.027291179,-0.08115804,low9_share,low,0.04967904,0.027291179,-0.08115804
000015.SH,2026-06-26,2894.8992,50,0.06,0.0,0.32,0.0,0.07331219988455462,0.0,0.2941288253336413,0.0,-0.08115804,0.025121808,0.029085755,0.08482075,low9_share,low,0.025121808,0.029085755,0.08482075
000015.SH,2020-07-23,2571.426,50,0.0,0.04,0.0,0.04,0.0,0.053321600180457764,0.0,0.053321600180457764,0.07421899,-0.015448213,0.014315367,0.037714005,high9_share,high,0.015448213,-0.014315367,-0.037714005
000015.SH,2020-08-19,2685.2039,50,0.0,0.02,0.0,0.14,0.0,0.0163204892837436,0.0,0.10883326439223504,0.030244112,-0.025542974,-0.01481235,-0.033076227,high9_share,high,0.025542974,0.01481235,0.033076227
000015.SH,2020-11-09,2718.9836,50,0.0,0.06,0.0,0.1,0.0,0.08269917104006258,0.0,0.16102838958901636,0.037322164,0.017731667,0.040257692,-0.0042026043,high9_share,high,-0.017731667,-0.040257692,0.0042026043
000015.SH,2020-11-26,2784.9373,50,0.0,0.06,0.0,0.12,0.0,0.06672933130384011,0.0,0.1090889083238751,0.08687365,-0.008434594,-0.04327911,-0.06445271,high9_share,high,0.008434594,0.04327911,0.06445271
000015.SH,2021-02-22,2701.3655,50,0.0,0.04,0.0,0.24,0.0,0.03355000011074543,0.0,0.23605999890313148,0.03828764,-0.010283351,-0.009881079,0.020430446,high9_share,high,0.010283351,0.009881079,-0.020430446
000015.SH,2021-03-15,2754.328,50,0.0,0.04,0.0,0.1,0.0,0.038800387974327465,0.0,0.09350093529146453,0.09945929,0.00080883503,0.0005778074,-0.0045766234,high9_share,high,-0.00080883503,-0.0005778074,0.0045766234
000015.SH,2021-06-03,2901.8672,50,0.0,0.04,0.0,0.24,0.0,0.03697926111454609,0.0,0.2784044288760332,0.03243339,-0.008090079,-0.028761804,-0.021560252,high9_share,high,0.008090079,0.028761804,0.021560252
000015.SH,2021-08-30,2944.7292,50,0.0,0.04,0.06,0.06,0.0,0.02941117734873967,0.036131444249177316,0.06626265066273339,0.09412098,0.05109501,0.12735963,0.005954981,high9_share,high,-0.05109501,-0.12735963,-0.005954981
000015.SH,2022-01-11,2890.1926,50,0.0,0.08,0.0,0.3,0.0,0.1130711323663347,0.0,0.3330433307892108,0.043852687,-0.010938227,-0.052061856,-0.013120949,high9_share,high,0.010938227,0.052061856,0.013120949
000015.SH,2022-04-08,3042.406,50,0.02,0.08,0.02,0.18,0.010070201072243436,0.07778155658914063,0.010070201072243436,0.17071341480914762,0.08300495,-0.004758358,-0.04808581,-0.096989274,high9_share,high,0.004758358,0.04808581,0.096989274
000015.SH,2022-06-07,2843.4573,50,0.0,0.04,0.0,0.06,0.0,0.03199063888893498,0.0,0.04859097069603462,0.031710982,0.01787746,-0.01166141,0.02240026,high9_share,high,-0.01787746,0.01166141,-0.02240026
000015.SH,2022-09-08,2886.1716,50,0.0,0.04,0.0,0.1,0.0,0.040918772431367434,0.0,0.1071967853604608,0.06335163,-0.030837715,-0.026024282,-0.03375405,high9_share,high,0.030837715,0.026024282,0.03375405
000015.SH,2022-12-02,2794.7454,50,0.0,0.14,0.0,0.22,0.0,0.14238857882766814,0.0,0.2223677802095084,0.052641034,0.02058208,0.009078264,-0.024932325,high9_share,high,-0.02058208,-0.009078264,0.024932325
000015.SH,2023-01-30,2800.6145,50,0.0,0.04,0.02,0.16,0.0,0.052648945605356885,0.02403951961150193,0.1690266185842515,0.032305956,-0.0060240626,0.0023522377,0.033882618,high9_share,high,0.0060240626,-0.0023522377,-0.033882618
000015.SH,2023-02-22,2886.924,50,0.0,0.06,0.0,0.1,0.0,0.05169948126733592,0.0,0.10348896226389662,0.03758812,0.011704683,0.013566732,0.010302424,high9_share,high,-0.011704683,-0.013566732,-0.010302424
000015.SH,2023-04-24,2990.494,50,0.0,0.08,0.06,0.08,0.0,0.08571742717649541,0.05748827463253932,0.08571742717649541,0.033208728,0.04774511,0.04750514,-0.013498008,high9_share,high,-0.04774511,-0.04750514,0.013498008
000015.SH,2023-05-12,3115.1558,50,0.0,0.04,0.0,0.04,0.0,0.0288002880201538,0.0,0.0288002880201538,0.059907436,-0.017853975,-0.044151843,-0.03729242,high9_share,high,0.017853975,0.044151843,0.03729242
000015.SH,2024-01-04,2901.0684,50,0.0,0.06,0.0,0.08,0.0,0.06266999874355196,0.0,0.0828299991759479,0.032235622,-0.0147560835,-0.020666242,-0.00032502413,high9_share,high,0.0147560835,0.020666242,0.00032502413
000015.SH,2024-02-07,3012.0864,50,0.0,0.04,0.02,0.04,0.0,0.03689963045453951,0.008679912926638465,0.03689963045453951,0.04452908,0.053996205,0.034663916,0.021862626,high9_share,high,-0.053996205,-0.034663916,-0.021862626
000015.SH,2024-03-12,3085.797,50,0.0,0.06,0.0,0.1,0.0,0.0549916491298233,0.0,0.08590257717311466,0.057610035,-0.010875165,-0.0063171387,0.029824495,high9_share,high,0.010875165,0.0063171387,-0.029824495
000015.SH,2024-05-30,3251.0945,50,0.0,0.1,0.02,0.1,0.0,0.15888158991257595,0.018530185725608793,0.15888158991257595,0.033031583,-0.0121875405,-0.021660507,-0.042291284,high9_share,high,0.0121875405,0.021660507,0.042291284
000015.SH,2024-09-27,3063.2002,50,0.0,0.1,0.0,0.62,0.0,0.11967119613088174,0.0,0.6385663851983231,0.055636644,0.0034469366,0.011090517,-0.012852192,high9_share,high,-0.0034469366,-0.011090517,0.012852192
000015.SH,2024-12-12,3168.8223,50,0.0,0.04,0.0,0.1,0.0,0.03763075159497933,0.0,0.11442228655139793,0.05173993,-0.005765915,0.0009123087,-0.052209735,high9_share,high,0.005765915,-0.0009123087,0.052209735
000015.SH,2025-03-25,3090.562,50,0.0,0.06,0.0,0.12,0.0,0.060309398323019583,0.0,0.11618884016038028,0.042891264,-0.0014582872,-0.028612077,-0.013955772,high9_share,high,0.0014582872,0.028612077,0.013955772
000015.SH,2025-05-08,3033.7456,50,0.0,0.04,0.02,0.08,0.0,0.06414999954205751,0.019720000005102156,0.10545000063723325,0.0418669,0.022404432,0.031795382,0.016857982,high9_share,high,-0.022404432,-0.031795382,-0.016857982
000015.SH,2025-10-24,3116.772,50,0.0,0.14,0.0,0.14,0.0,0.13018390307178593,0.0,0.13018390307178593,0.050662756,-0.0063893795,0.021905065,-0.004180789,high9_share,high,0.0063893795,-0.021905065,0.004180789
000015.SH,2025-11-11,3200.8506,50,0.0,0.04,0.0,0.26,0.0,0.04255042641493686,0.0,0.26180262142798666,0.04246676,-0.018814147,-0.033521533,-0.050501704,high9_share,high,0.018814147,0.033521533,0.050501704
000015.SH,2026-01-29,3164.8313,50,0.0,0.08,0.02,0.2,0.0,0.07124071137862537,0.017160171075527614,0.18321183166691427,0.039983988,-0.011636734,0.0023401976,0.035616517,high9_share,high,0.011636734,-0.0023401976,-0.035616517
000015.SH,2026-02-12,3172.2375,50,0.0,0.06,0.02,0.08,0.0,0.051288974910817055,0.019739604984101274,0.07617847794732509,0.042082787,0.017185688,0.033198595,0.038487792,high9_share,high,-0.017185688,-0.033198595,-0.038487792
000015.SH,2026-03-06,3277.5515,50,0.0,0.08,0.0,0.1,0.0,0.102699999106884,0.0,0.12338999926276206,0.035616517,0.024887323,0.0051192045,-0.021756768,high9_share,high,-0.024887323,-0.0051192045,0.021756768
000015.SH,2026-03-20,3294.3298,50,0.0,0.04,0.0,0.1,0.0,0.035720001629447946,0.0,0.08504000108261109,0.038487792,-0.011002123,-0.026739001,-0.022834599,high9_share,high,0.011002123,0.026739001,0.022834599
000015.SH,2026-04-30,3335.005,50,0.0,0.08,0.0,0.2,0.0,0.0957099999708712,0.0,0.23265999954818486,0.03172207,-0.02616471,-0.037769735,-0.012968183,high9_share,high,0.02616471,0.037769735,0.012968183
000015.SH,2026-07-23,3205.6045,50,0.0,0.12,0.0,0.24,0.0,0.13388865980701828,0.0,0.2722472751980708,0.08283496,0.006759286,-0.0017124414,0.028404951,high9_share,high,-0.006759286,0.0017124414,-0.028404951
000015.SH,2020-09-30,2537.4172,50,0.02,0.0,0.36,0.0,0.017480349787053054,0.0,0.3665373308824534,0.0,-0.040829837,0.021958232,0.01231122,0.043530226,low7_9_share,low,0.021958232,0.01231122,0.043530226
000015.SH,2020-10-26,2545.4517,50,0.0,0.0,0.18,0.02,0.0,0.0,0.18467369511631135,0.02382047599882384,-0.034156263,0.00531888,0.06817341,0.11117554,low7_9_share,low,0.00531888,0.06817341,0.11117554
000015.SH,2021-01-29,2483.4995,50,0.02,0.0,0.22,0.0,0.022439999526882172,0.0,0.214069998946023,0.0,-0.042963445,0.0029023886,0.07169318,0.08387208,low7_9_share,low,0.0029023886,0.07169318,0.08387208
000015.SH,2021-07-29,2686.0525,50,0.02,0.0,0.22,0.0,0.01659999975526333,0.0,0.21416999812574983,0.0,-0.06361163,-0.008654296,0.0439595,0.07811618,low7_9_share,low,-0.008654296,0.0439595,0.07811618
000015.SH,2021-11-01,2749.336,50,0.08,0.0,0.3,0.0,0.11508115082162919,0.0,0.4083940838639479,0.0,-0.0767079,-0.022606134,-0.015471756,-0.019623876,low7_9_share,low,-0.022606134,-0.015471756,-0.019623876
000015.SH,2022-03-15,2650.584,50,0.06,0.0,0.28,0.0,0.045889999921190736,0.0,0.22995999959702493,0.0,-0.0707109,0.092553616,0.11012328,0.15518594,low7_9_share,low,0.092553616,0.11012328,0.15518594
000015.SH,2022-04-26,2728.6213,50,0.02,0.0,0.14,0.0,0.0145202905867989,0.0,0.13198264003847437,0.0,-0.058568716,0.01055932,0.02460599,0.048205495,low7_9_share,low,0.01055932,0.02460599,0.048205495
000015.SH,2022-08-05,2651.212,50,0.02,0.0,0.14,0.0,0.0074700745211426995,0.0,0.1122411238283052,0.0,-0.06177777,0.0324893,0.044465184,0.05617857,low7_9_share,low,0.0324893,0.044465184,0.05617857
000015.SH,2022-10-27,2678.7864,50,0.04,0.0,0.14,0.0,0.0293994126791382,0.0,0.10761784942672824,0.0,-0.054314196,-0.027573049,0.001398921,0.021958113,low7_9_share,low,-0.027573049,0.001398921,0.021958113
000015.SH,2022-12-27,2733.0725,50,0.02,0.0,0.24,0.0,0.0058399414946209765,0.0,0.24657753449036995,0.0,-0.04021281,0.009280443,0.011562467,0.029407024,low7_9_share,low,0.009280443,0.011562467,0.029407024
000015.SH,2023-06-21,2843.6597,50,0.02,0.0,0.24,0.0,0.023040690137583718,0.0,0.29430882995836,0.0,-0.041754544,0.0065259933,0.0058368444,-0.0036101937,low7_9_share,low,0.0065259933,0.0058368444,-0.0036101937
000015.SH,2024-06-25,3106.9192,50,0.04,0.0,0.12,0.04,0.03678000077160597,0.0,0.09029999993318319,0.04366999846357704,-0.053436518,0.026684642,0.0083043575,-0.047258675,low7_9_share,low,0.026684642,0.0083043575,-0.047258675
000015.SH,2024-07-12,3029.4163,50,0.0,0.02,0.2,0.04,0.0,0.017120000246429446,0.20521000055224897,0.03168000005493164,-0.047555268,-0.0048444867,-0.031577885,-0.039397776,low7_9_share,low,-0.0048444867,-0.031577885,-0.039397776
