index_code,index_name,signal_date,fear_score,fear_pass,fear_available
000300.SH,沪深300,2023-03-23,64.2852,False,True
000300.SH,沪深300,2023-06-05,40.2805,False,True
000300.SH,沪深300,2023-08-30,61.9039,False,True
000300.SH,沪深300,2023-10-27,48.8689,False,True
000300.SH,沪深300,2023-12-12,44.2101,False,True
000300.SH,沪深300,2024-08-16,50.2706,False,True
000300.SH,沪深300,2024-09-20,51.7998,False,True
000300.SH,沪深300,2025-04-14,34.0565,True,True
000300.SH,沪深300,2025-11-28,49.7645,False,True
000300.SH,沪深300,2026-02-09,45.6907,False,True
000300.SH,沪深300,2026-03-30,39.3373,True,True
000016.SH,上证50,2023-03-23,54.6587,False,True
000016.SH,上证50,2023-06-07,40.0465,False,True
000016.SH,上证50,2023-08-28,66.1854,False,True
000016.SH,上证50,2023-10-27,52.5964,False,True
000016.SH,上证50,2023-12-12,37.7272,True,True
000016.SH,上证50,2024-07-02,70.465,False,True
000016.SH,上证50,2024-09-20,46.5233,False,True
000016.SH,上证50,2025-01-15,48.2721,False,True
000016.SH,上证50,2025-04-14,40.7026,False,True
000016.SH,上证50,2025-11-28,45.4905,False,True
000016.SH,上证50,2026-01-29,54.7838,False,True
000016.SH,上证50,2026-03-30,45.2508,False,True
000016.SH,上证50,2026-08-10,68.9892,False,True
000510.SH,中证A500,2025-04-14,,False,False
000510.SH,中证A500,2025-11-28,54.2523,False,True
000510.SH,中证A500,2026-03-30,38.9485,True,True
000905.SH,中证500,2023-03-22,53.8998,False,True
000905.SH,中证500,2023-08-30,38.1302,True,True
000905.SH,中证500,2023-10-30,47.1461,False,True
000905.SH,中证500,2023-12-29,46.5535,False,True
000905.SH,中证500,2024-07-11,50.5762,False,True
000905.SH,中证500,2024-07-31,60.8537,False,True
000905.SH,中证500,2024-08-30,60.8131,False,True
000905.SH,中证500,2025-04-14,39.6763,True,True
000905.SH,中证500,2025-11-28,50.062,False,True
000905.SH,中证500,2026-03-30,40.6425,False,True
000905.SH,中证500,2026-06-15,46.9614,False,True
000905.SH,中证500,2026-07-24,27.3993,True,True
000852.SH,中证1000,2023-03-22,58.1392,False,True
000852.SH,中证1000,2023-05-05,44.718,False,True
000852.SH,中证1000,2023-08-30,32.7946,True,True
000852.SH,中证1000,2023-12-29,51.7644,False,True
000852.SH,中证1000,2024-04-25,57.8731,False,True
000852.SH,中证1000,2024-06-14,58.2877,False,True
000852.SH,中证1000,2024-07-31,63.3262,False,True
000852.SH,中证1000,2024-08-30,63.7975,False,True
000852.SH,中证1000,2024-09-24,69.2582,False,True
000852.SH,中证1000,2025-01-15,53.2125,False,True
000852.SH,中证1000,2025-04-14,43.291,False,True
000852.SH,中证1000,2025-11-28,55.5884,False,True
000852.SH,中证1000,2026-03-30,46.2371,False,True
000852.SH,中证1000,2026-07-24,28.2354,True,True
932000.CSI,中证2000,2023-03-22,,False,False
932000.CSI,中证2000,2023-08-30,,False,False
932000.CSI,中证2000,2023-12-29,,False,False
932000.CSI,中证2000,2024-04-25,52.6614,False,True
932000.CSI,中证2000,2024-06-13,53.2234,False,True
932000.CSI,中证2000,2025-04-14,40.6314,False,True
932000.CSI,中证2000,2026-03-30,36.5999,True,True
932000.CSI,中证2000,2026-06-15,36.1168,True,True
932000.CSI,中证2000,2026-07-28,18.7913,True,True
000985.SH,中证全指,2023-03-22,54.8586,False,True
000985.SH,中证全指,2023-08-30,51.8053,False,True
000985.SH,中证全指,2023-10-27,46.2798,False,True
000985.SH,中证全指,2023-12-12,50.4194,False,True
000985.SH,中证全指,2023-12-29,47.2297,False,True
000985.SH,中证全指,2024-06-19,60.0063,False,True
000985.SH,中证全指,2024-09-20,52.7169,False,True
000985.SH,中证全指,2025-01-15,49.39,False,True
000985.SH,中证全指,2025-04-14,37.6056,True,True
000985.SH,中证全指,2025-11-28,48.511,False,True
000985.SH,中证全指,2026-03-30,35.7391,True,True
000985.SH,中证全指,2026-06-15,37.3266,True,True
000985.SH,中证全指,2026-07-24,30.4828,True,True
899050.BJ,北证50,2023-03-02,,False,False
899050.BJ,北证50,2023-03-27,,False,False
899050.BJ,北证50,2023-06-19,,False,False
899050.BJ,北证50,2023-07-31,,False,False
899050.BJ,北证50,2023-08-30,,False,False
899050.BJ,北证50,2023-10-27,,False,False
899050.BJ,北证50,2024-01-19,,False,False
899050.BJ,北证50,2024-02-19,,False,False
899050.BJ,北证50,2024-06-14,,False,False
899050.BJ,北证50,2024-07-01,,False,False
899050.BJ,北证50,2024-09-25,,False,False
899050.BJ,北证50,2024-12-24,,False,False
899050.BJ,北证50,2025-01-09,,False,False
899050.BJ,北证50,2025-04-14,,False,False
899050.BJ,北证50,2025-06-25,,False,False
899050.BJ,北证50,2025-10-24,,False,False
899050.BJ,北证50,2026-04-02,33.8432,True,True
899050.BJ,北证50,2026-06-08,41.4366,False,True
899050.BJ,北证50,2026-07-31,33.3729,True,True
000680.SH,科创综指,2023-05-16,,False,False
000680.SH,科创综指,2023-08-03,,False,False
000680.SH,科创综指,2023-08-30,,False,False
000680.SH,科创综指,2023-12-29,,False,False
