variant,label,max_positions,signal_trades,signal_win_rate,signal_mean_return,signal_median_return,signal_median_holding_days,signal_profit_factor,signal_open_at_end,signal_median_hold_to_end,signal_beat_hold_to_end_pct,portfolio_trades,portfolio_win_rate,portfolio_total_return,portfolio_cagr,portfolio_annual_volatility,portfolio_sharpe_like,portfolio_max_drawdown,portfolio_calmar,random_pick_trials,random_pick_return_p10,random_pick_return_median,random_pick_return_p90,random_pick_max_drawdown_median
full,板块九转+贪恐<=40+个股九转,10,8676,0.49988473951129553,0.06660577172936691,-2.3412890429952427e-05,78.0,1.8827733795178032,4135,-0.022254340391426597,0.30820654679575843,56,0.4107142857142857,0.5688526134835097,0.12947511839893933,0.23272956096934733,0.5563329293436532,-0.24825357844498885,0.521543815037615,25,0.7092103203082156,0.9301712898722179,1.2197419530835314,-0.24772611005403777
no_fear,板块九转+个股九转（去掉贪恐闸门）,10,23056,0.4964434420541291,0.07465900836921693,-0.0020538568266019186,115.0,1.8738173160529557,5031,0.021129073676770305,0.3824167244968772,56,0.4642857142857143,0.14143312513692674,0.036411060579072396,0.21526523628429886,0.1691451030717502,-0.3745363202193671,0.09721636758151071,25,0.09696953923113152,0.29548533626162077,0.49545827522731906,-0.39625974795525065
stock_only,只看个股九转（不看板块）,10,65931,0.48139721830398446,0.07477257148781448,-0.008843215387235315,115.0,1.8244031948534556,13580,0.015190198363227214,0.3848720632176063,57,0.5087719298245614,0.1417574387160423,0.03649066488563757,0.2498101583841613,0.14607358292260378,-0.34204468436072233,0.10668391164691891,25,-0.150098359431978,0.09427066819171226,0.7551990069723901,-0.38123445579651727
full_window0,完整规则·布防窗口 0 个交易日,10,5530,0.5151898734177215,0.08765467207389001,0.008104135836986215,110.5,2.1663380199835833,2311,-0.026750970365873428,0.35135623869801086,52,0.46153846153846156,1.1199213031359911,0.22524310854648943,0.2470616153766885,0.9116879941186616,-0.2459991238089274,0.9156256536972075,25,0.6446911980534419,0.9145736185392035,1.2083513089719002,-0.2502494068022063
full_window3,完整规则·布防窗口 3 个交易日,10,8240,0.5037621359223301,0.06959213394061323,0.0018307383729133653,81.0,1.9245937265109692,3867,-0.0211204393797767,0.31213592233009707,55,0.43636363636363634,1.070444721168244,0.21744535698396494,0.23634509678486507,0.9200332900576154,-0.2183426285234047,0.9958905343152284,25,0.35350254377505247,0.7927203259939153,1.1679904700663986,-0.23216091905962832
full_window10,完整规则·布防窗口 10 个交易日,10,10038,0.49143255628611276,0.05780007937719846,-0.0036646142500704193,74.0,1.7436530739019918,4991,-0.024043022449857232,0.2964734010759115,53,0.37735849056603776,0.7237762871696138,0.15860090509878444,0.24461113282813599,0.6483797497893017,-0.3285078741363344,0.4827917915689391,0,,,,
full_window20,完整规则·布防窗口 20 个交易日,10,12468,0.5,0.05104536829918439,3.309207276802617e-05,64.0,1.6863477833086415,6516,-0.01640729621050513,0.2803978184151428,59,0.423728813559322,1.054849525410643,0.2149593146399431,0.2332735918022614,0.921490139450321,-0.2090065417811765,1.0284812753133774,0,,,,
full_industry_only,完整规则·只用行业主题板块,10,2417,0.5093090608191974,0.07290231008471428,0.0037200194546249676,108.0,1.9954153648005741,729,-0.01704058331972913,0.39553165080678526,53,0.39622641509433965,0.7641033714094458,0.16586717845823706,0.24930088804887382,0.6653292724160689,-0.22142390974868997,0.7490933506074016,25,0.575785029143928,0.8612333389537916,1.1588056954892718,-0.24468972993087312
full_broad_only,完整规则·只用宽基/风格指数,10,7086,0.5125599774202653,0.08081571763445185,0.006347515835614104,66.0,2.1084700584286433,3728,-0.022307909133090387,0.29113745413491393,32,0.4375,-0.009430377255410516,-0.0025583719122528326,0.15553472958489445,-0.016448878775054635,-0.23557308853706338,-0.010860204483205715,0,,,,
full_industry_window0,只用行业主题板块·布防窗口 0 个交易日,10,1495,0.5411371237458193,0.10383497457529293,0.014411098361787555,115.0,2.582475679562414,475,-0.019350873616255204,0.411371237458194,51,0.45098039215686275,1.1647491398529528,0.2321943503484445,0.25255489858744473,0.9193816934342669,-0.2462006020963886,0.9431104082253194,0,,,,
full_pos20,完整规则·最多 20 只持仓,20,8676,0.49988473951129553,0.06660577172936691,-2.3412890429952427e-05,78.0,1.8827733795178032,4135,-0.022254340391426597,0.30820654679575843,105,0.4857142857142857,0.8298780322026804,0.17746285454506894,0.22950017032767062,0.7732580515809422,-0.3093597730034686,0.5736455416363367,25,0.5294846239979377,0.6705077044561114,0.8572002177663036,-0.29367858185185325
full_window0_pos20,布防窗口 0·最多 20 只持仓,20,5530,0.5151898734177215,0.08765467207389001,0.008104135836986215,110.5,2.1663380199835833,2311,-0.026750970365873428,0.35135623869801086,104,0.46153846153846156,0.42033018066944083,0.09951018820463853,0.22327194988527554,0.4456905054834256,-0.2957914277392881,0.33642012199335014,25,0.4307582510973466,0.6073808462391597,0.7211070527781174,-0.2561033483351781
full_sell_low2_first_only,完整规则·卖出口径 low2_first_only,10,8676,0.47498847395112953,0.12308217945530853,-0.013798031002070443,115.0,2.327877435804085,7674,-0.022254340391426597,0.07468879668049792,17,0.35294117647058826,0.16606102320873606,0.04240971646834746,0.19884876303083926,0.21327623980125124,-0.2163924053771774,0.1959852352231413,0,,,,
full_sell_low_ge2_wait,完整规则·卖出口径 low_ge2_wait,10,8676,0.5487551867219918,0.047890240762526265,0.015520061851969746,62.0,1.8047164288182471,2741,-0.022254340391426597,0.4158598432457354,72,0.4722222222222222,-0.06645267489890228,-0.018418869351486844,0.21460403236197442,-0.08582722863482631,-0.4043223783330693,-0.04555490949430927,0,,,,
