key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h22_zoff_f1_p5,2,2,2,2,,1,40.0,20,9,0,2.0,5,default54,904,55.07,-23.26,0.828,-12.78,-23.99,-0.45,62.17
h22_zoff_f1_p8,2,2,2,2,,1,40.0,20,9,0,2.0,8,default54,904,38.91,-22.1,0.638,-20.71,-29.22,-0.603,62.17
h22_zoff_f1_p10,2,2,2,2,,1,40.0,20,9,0,2.0,10,default54,904,31.91,-22.37,0.526,-20.28,-29.21,-0.591,62.17
h22_zoff_f3_p5,2,2,2,2,,3,40.0,20,9,0,2.0,5,default54,2417,14.6,-43.91,0.128,-14.21,-20.95,-0.574,53.79
h22_zoff_f3_p8,2,2,2,2,,3,40.0,20,9,0,2.0,8,default54,2417,16.95,-41.97,0.155,-12.28,-19.19,-0.54,53.79
h22_zoff_f3_p10,2,2,2,2,,3,40.0,20,9,0,2.0,10,default54,2417,16.08,-40.89,0.151,-13.84,-20.32,-0.576,53.79
h22_zoff_f5_p5,2,2,2,2,,5,40.0,20,9,0,2.0,5,default54,3060,6.98,-46.61,0.059,-17.74,-21.81,-0.691,51.44
h22_zoff_f5_p8,2,2,2,2,,5,40.0,20,9,0,2.0,8,default54,3060,7.67,-44.66,0.067,-14.61,-20.46,-0.605,51.44
h22_zoff_f5_p10,2,2,2,2,,5,40.0,20,9,0,2.0,10,default54,3060,4.1,-42.58,0.038,-12.95,-20.31,-0.539,51.44
h22_z0.0_f1_p5,2,2,2,2,0.0,1,40.0,20,9,0,2.0,5,default54,374,56.68,-22.19,0.89,-18.86,-26.7,-0.6,58.02
h22_z0.0_f1_p8,2,2,2,2,0.0,1,40.0,20,9,0,2.0,8,default54,374,39.7,-21.89,0.656,-23.79,-31.26,-0.65,58.02
h22_z0.0_f1_p10,2,2,2,2,0.0,1,40.0,20,9,0,2.0,10,default54,374,27.42,-21.99,0.465,-23.22,-28.81,-0.688,58.02
h22_z0.0_f3_p5,2,2,2,2,0.0,3,40.0,20,9,0,2.0,5,default54,1211,42.0,-30.58,0.494,-22.96,-24.32,-0.805,49.79
h22_z0.0_f3_p8,2,2,2,2,0.0,3,40.0,20,9,0,2.0,8,default54,1211,51.48,-20.71,0.876,-25.06,-27.44,-0.781,49.79
h22_z0.0_f3_p10,2,2,2,2,0.0,3,40.0,20,9,0,2.0,10,default54,1211,50.94,-21.38,0.84,-21.4,-24.19,-0.754,49.79
h22_z0.0_f5_p5,2,2,2,2,0.0,5,40.0,20,9,0,2.0,5,default54,1597,46.89,-30.46,0.548,-17.75,-26.83,-0.562,47.59
h22_z0.0_f5_p8,2,2,2,2,0.0,5,40.0,20,9,0,2.0,8,default54,1597,57.28,-23.46,0.85,-17.62,-23.63,-0.633,47.59
h22_z0.0_f5_p10,2,2,2,2,0.0,5,40.0,20,9,0,2.0,10,default54,1597,52.57,-22.27,0.83,-10.85,-16.88,-0.542,47.59
h22_z0.5_f1_p5,2,2,2,2,0.5,1,40.0,20,9,0,2.0,5,default54,241,58.9,-23.66,0.863,-20.26,-29.05,-0.594,54.36
h22_z0.5_f1_p8,2,2,2,2,0.5,1,40.0,20,9,0,2.0,8,default54,241,38.58,-23.04,0.607,-20.01,-25.34,-0.672,54.36
