key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
winner,2,4,2,2,1.0,3,40.0,20,9,0,2.0,8,default54,748,42.2,-16.91,0.897,-4.84,-16.66,-0.244,46.66
fear30,2,4,2,2,1.0,3,30.0,20,9,0,2.0,8,default54,286,28.16,-21.22,0.493,-7.11,-24.66,-0.242,43.36
fear35,2,4,2,2,1.0,3,35.0,20,9,0,2.0,8,default54,507,29.04,-20.31,0.531,0.63,-16.88,0.031,46.75
fear40,2,4,2,2,1.0,3,40.0,20,9,0,2.0,8,default54,748,42.2,-16.91,0.897,-4.84,-16.66,-0.244,46.66
fear45,2,4,2,2,1.0,3,45.0,20,9,0,2.0,8,default54,1035,31.71,-21.92,0.533,-9.06,-19.55,-0.391,45.6
fear50,2,4,2,2,1.0,3,50.0,20,9,0,2.0,8,default54,1266,12.57,-37.59,0.129,-9.0,-19.63,-0.386,49.76
vollook10,2,4,2,2,1.0,3,40.0,10,9,0,2.0,8,default54,2417,16.95,-41.97,0.155,-12.28,-19.19,-0.54,53.79
vollook20,2,4,2,2,1.0,3,40.0,20,9,0,2.0,8,default54,748,42.2,-16.91,0.897,-4.84,-16.66,-0.244,46.66
vollook40,2,4,2,2,1.0,3,40.0,40,9,0,2.0,8,default54,2417,16.95,-41.97,0.155,-12.28,-19.19,-0.54,53.79
vollook60,2,4,2,2,1.0,3,40.0,60,9,0,2.0,8,default54,2417,16.95,-41.97,0.155,-12.28,-19.19,-0.54,53.79
sect12,2,4,1,2,1.0,3,40.0,20,9,0,2.0,8,default54,396,17.47,-27.77,0.24,-17.66,-29.29,-0.512,55.05
sect22,2,4,2,2,1.0,3,40.0,20,9,0,2.0,8,default54,748,42.2,-16.91,0.897,-4.84,-16.66,-0.244,46.66
sect23,2,4,2,3,1.0,3,40.0,20,9,0,2.0,8,default54,748,42.2,-16.91,0.897,-4.84,-16.66,-0.244,46.66
sect13,2,4,1,3,1.0,3,40.0,20,9,0,2.0,8,default54,396,17.47,-27.77,0.24,-17.66,-29.29,-0.512,55.05
low7,2,4,2,2,1.0,3,40.0,20,7,0,2.0,8,default54,1222,28.78,-22.38,0.478,7.36,-16.25,0.376,47.71
low8,2,4,2,2,1.0,3,40.0,20,8,0,2.0,8,default54,977,36.08,-18.2,0.723,5.48,-14.71,0.31,45.75
low9,2,4,2,2,1.0,3,40.0,20,9,0,2.0,8,default54,748,42.2,-16.91,0.897,-4.84,-16.66,-0.244,46.66
low10,2,4,2,2,1.0,3,40.0,20,10,0,2.0,8,default54,546,1.55,-28.29,0.022,2.53,-20.76,0.102,45.97
low11,2,4,2,2,1.0,3,40.0,20,11,0,2.0,8,default54,391,-10.8,-40.57,-0.11,1.58,-19.49,0.068,45.78
