variant,label,signals,taken,win_pct,mean_pct,median_pct,beat_hold_pct,open_end,exposure_pct,total_pct,cagr_pct,vol_pct,mdd_pct,calmar,sharpe_like,rand_p10,rand_med,rand_p90
base,板块九转（当前线上默认）,1535,52,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,107.10283720335471,21.824999254482247,24.94813523798522,-24.603002257038554,0.8870868289352142,0.8748148527450746,63.72562954545251,82.41075417028463,107.4879055086801
fund_gate,+基本面：过硬闸门,1106,51,52.89330922242315,8.968697200517202,1.1218853473226598,35.44303797468354,391,96.42857142857143,94.42414595457993,19.755912424436705,24.002661664789436,-31.357665414575596,0.6300185987459962,0.8230717368073194,49.2571688482325,79.8289856562612,109.30927850647092
fund_pool,+基本面：在股票池前100,57,37,54.385964912280706,26.083254567929217,1.1246290994048058,42.10526315789473,17,96.42857142857143,69.29462290933938,15.344914832427769,20.55528602107213,-21.627993484626163,0.7094932242944961,0.7465191589500151,47.05754377971398,81.5388344216696,107.1423482592183
fund_rank300,+基本面：综合排名≤300,178,54,56.17977528089888,18.875891519655855,1.9749579430918263,35.39325842696629,55,96.42857142857143,13.535008695514183,3.5020359607029983,20.31967177214425,-24.45818799183579,0.1431846039400788,0.17234707331758453,1.0181508883040369,23.612894615370283,62.37354624942295
fund_rank500,+基本面：综合排名≤500,281,52,54.44839857651246,14.938322521580634,1.182200327927596,33.096085409252666,100,96.42857142857143,29.477808988346244,7.256267362334823,19.891023950412315,-21.301201883876374,0.3406506075052669,0.3648010972398638,19.08143575376664,43.36008914784748,66.52871888420692
fund_rank600,+基本面：综合排名≤600,336,52,51.488095238095234,12.953628598361572,0.41381823362244274,33.63095238095239,116,96.42857142857143,24.12510966348598,6.035382122266553,19.385486205016772,-23.986499076509602,0.2516157986630532,0.31133509154413963,30.100423737821203,49.32445353561534,86.15652437751979
pick_score_desc,+排序：综合评分高的优先,1535,50,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,66.78152539866528,14.878093705815143,24.20035192910491,-24.856528677083535,0.5985587890851386,0.6147883199963627,63.72562954545251,82.41075417028463,107.4879055086801
pick_rank_asc,+排序：池内排名靠前优先,1535,50,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,66.78152539866528,14.878093705815143,24.20035192910491,-24.856528677083535,0.5985587890851386,0.6147883199963627,63.72562954545251,82.41075417028463,107.4879055086801
pick_code,+排序：按代码,1535,53,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,115.88615866402048,23.20484060079766,24.82783315957163,-19.81430167640137,1.171115741537053,0.9346301165976593,63.72562954545251,82.41075417028463,107.4879055086801
pos5,+最大持仓 5,1535,25,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,95.98214285714286,109.56568859261013,22.21614433921455,25.45000701223033,-22.86632139086987,0.9715661719022752,0.8729327394109673,64.88292879041033,121.99712440207348,192.2026320829533
pos8,+最大持仓 8,1535,42,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,95.98214285714286,118.29848432811154,23.576633252116608,25.7740583212058,-23.19385801259918,1.016503301835749,0.9147427602706538,59.71460892240725,98.85704665056936,126.74771024070664
pos15,+最大持仓 15,1535,78,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,71.00002590209581,15.658833342945556,23.894456494048384,-28.32992036671298,0.5527312869309838,0.655333313266441,51.02762037513078,62.61519582032171,92.55955232777258
pos20,+最大持仓 20,1535,103,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,45.327326364265886,10.667929752012784,22.547711547565722,-28.911945576447128,0.3689800025323554,0.47312693926867744,42.28250351993608,60.07223431515505,70.03460672464902
fear25,+贪恐闸门 ≤25,43,29,51.162790697674424,1.8645651807360617,0.18754544537300522,41.86046511627907,11,88.16964285714286,-3.7515326181984276,-1.0314744690069433,12.42663434247762,-17.870967014642158,-0.057717887798787205,-0.0830051356288068,-6.391228955438821,-3.5132854668321167,3.2681513108833826
